Daily - Year,Go to Mods/Dailyplanner/Plans,Find [current year].csv,Open it in spreadsheet program.,Create plan.,Then reload this save.
Daily - Spring,,,,,
Spring 1,,,,,
Spring 2,,,,,
Spring 3,,,,,
Spring 4,,,,,
Spring 5,,,,,
Spring 6,,,,,
Spring 7,,,,,
Spring 8,,,,,
Spring 9,,,,,
Spring 10,,,,,
Spring 11,,,,,
Spring 12,,,,,
Spring 13,,,,,
Spring 14,,,,,
Spring 15,,,,,
Spring 16,,,,,
Spring 17,,,,,
Spring 18,,,,,
Spring 19,,,,,
Spring 20,,,,,
Spring 21,,,,,
Spring 22,,,,,
Spring 23,,,,,
Spring 24,,,,,
Spring 25,,,,,
Spring 26,,,,,
Spring 27,,,,,
Spring 28,,,,,
Daily - Summer,,,,,
Summer 1,,,,,
Summer 2,,,,,
Summer 3,,,,,
Summer 4,,,,,
Summer 5,,,,,
Summer 6,,,,,
Summer 7,,,,,
Summer 8,,,,,
Summer 9,,,,,
Summer 10,,,,,
Summer 11,,,,,
Summer 12,,,,,
Summer 13,,,,,
Summer 14,,,,,
Summer 15,,,,,
Summer 16,,,,,
Summer 17,,,,,
Summer 18,,,,,
Summer 19,,,,,
Summer 20,,,,,
Summer 21,,,,,
Summer 22,,,,,
Summer 23,,,,,
Summer 24,,,,,
Summer 25,,,,,
Summer 26,,,,,
Summer 27,,,,,
Summer 28,,,,,
Daily - Fall,,,,,
Fall 1,,,,,
Fall 2,,,,,
Fall 3,,,,,
Fall 4,,,,,
Fall 5,,,,,
Fall 6,,,,,
Fall 7,,,,,
Fall 8,,,,,
Fall 9,,,,,
Fall 10,,,,,
Fall 11,,,,,
Fall 12,,,,,
Fall 13,,,,,
Fall 14,,,,,
Fall 15,,,,,
Fall 16,,,,,
Fall 17,,,,,
Fall 18,,,,,
Fall 19,,,,,
Fall 20,,,,,
Fall 21,,,,,
Fall 22,,,,,
Fall 23,,,,,
Fall 24,,,,,
Fall 25,,,,,
Fall 26,,,,,
Fall 27,,,,,
Fall 28,,,,,
Daily - Winter,,,,,
Winter 1,,,,,
Winter 2,,,,,
Winter 3,,,,,
Winter 4,,,,,
Winter 5,,,,,
Winter 6,,,,,
Winter 7,,,,,
Winter 8,,,,,
Winter 9,,,,,
Winter 10,,,,,
Winter 11,,,,,
Winter 12,,,,,
Winter 13,,,,,
Winter 14,,,,,
Winter 15,,,,,
Winter 16,,,,,
Winter 17,,,,,
Winter 18,,,,,
Winter 19,,,,,
Winter 20,,,,,
Winter 21,,,,,
Winter 22,,,,,
Winter 23,,,,,
Winter 24,,,,,
Winter 25,,,,,
Winter 26,,,,,
Winter 27,,,,,
Winter 28,,,,,
